voter_id,photo_reference,first_name,last_name,age,age_group,gender,district,constituency,polling_station_id,booth_number,registration_status,processing_status,verification_status,verification_timestamp,processing_timestamp,queue_time_minutes,processing_time_minutes,anomaly_type
VOTER000577,synthetic://voter/000577.svg,Anika,Shah,60,55-64,Female,District-07,CONST-027,PS-027,2,REGISTERED,PENDING,PENDING,,,3.64,28.0,unusually_long_processing
VOTER000733,synthetic://voter/000733.svg,Kabir,Mehta,44,35-44,Male,District-03,CONST-033,PS-033,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T17:44:00,13.65,0.35,unusually_short_processing
VOTER000911,synthetic://voter/000911.svg,Sia,Rao,74,65-74,Male,District-01,CONST-011,PS-011,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T12:10:00,42.0,6.43,abnormal_queue_time
VOTER001154,synthetic://voter/001154.svg,Arun,Sen,46,45-54,Female,District-04,CONST-004,PS-004,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T14:32:00,5.68,28.0,unusually_long_processing
VOTER001466,synthetic://voter/001466.svg,Kabir,Rao,44,35-44,Female,District-06,CONST-016,PS-016,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T17:33:00,4.54,0.35,unusually_short_processing
VOTER001731,synthetic://voter/001731.svg,Tara,Das,41,35-44,Male,District-01,CONST-031,PS-031,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T07:30:00,14.98,28.0,unusually_long_processing
VOTER001822,synthetic://voter/001822.svg,Dev,Roy,50,45-54,Female,District-02,CONST-022,PS-022,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T14:39:00,42.0,4.08,abnormal_queue_time
VOTER002199,synthetic://voter/002199.svg,Dev,Iyer,56,55-64,Female,District-09,CONST-049,PS-049,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:01:00,14.44,0.35,unusually_short_processing
VOTER002308,synthetic://voter/002308.svg,Leela,Bose,41,35-44,Female,District-08,CONST-008,PS-008,4,REGISTERED,PENDING,PENDING,,,1.92,28.0,unusually_long_processing
VOTER002733,synthetic://voter/002733.svg,Aarav,Sen,19,18-24,Female,District-03,CONST-033,PS-033,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T07:13:00,42.0,4.75,abnormal_queue_time
VOTER002885,synthetic://voter/002885.svg,Anika,Nair,82,75-85,Male,District-05,CONST-035,PS-035,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:08:00,19.71,28.0,unusually_long_processing
VOTER002932,synthetic://voter/002932.svg,Rohan,Rao,40,35-44,Male,District-02,CONST-032,PS-032,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:00:00,8.94,0.35,unusually_short_processing
VOTER003462,synthetic://voter/003462.svg,Sia,Kapoor,19,18-24,Female,District-02,CONST-012,PS-012,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:24:00,9.82,28.0,unusually_long_processing
VOTER003644,synthetic://voter/003644.svg,Aarav,Shah,51,45-54,Male,District-04,CONST-044,PS-044,5,REGISTERED,PROCESSED,PENDING,,2026-01-15T07:04:00,42.0,3.04,abnormal_queue_time
VOTER003665,synthetic://voter/003665.svg,Anika,Das,49,45-54,Male,District-05,CONST-015,PS-015,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:34:00,2.28,0.35,unusually_short_processing
VOTER004039,synthetic://voter/004039.svg,Kabir,Kapoor,68,65-74,Female,District-09,CONST-039,PS-039,2,REGISTERED,PENDING,PENDING,,,8.97,28.0,unusually_long_processing
