voter_id,photo_reference,first_name,last_name,age,age_group,gender,district,constituency,polling_station_id,booth_number,registration_status,processing_status,verification_status,verification_timestamp,processing_timestamp,queue_time_minutes,processing_time_minutes,anomaly_type
VOTER000001,synthetic://voter/000001.svg,Arun,Joshi,32,25-34,Female,District-01,CONST-001,PS-001,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T08:44:00,7.93,7.48,
VOTER000002,synthetic://voter/000002.svg,Aarav,Malik,72,65-74,Female,District-02,CONST-002,PS-002,3,REGISTERED,PROCESSED,PENDING,,2026-01-15T17:16:00,10.94,6.77,
VOTER000003,synthetic://voter/000003.svg,Dev,Joshi,71,65-74,Male,District-03,CONST-003,PS-003,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T07:06:00,1.92,3.48,
VOTER000004,synthetic://voter/000004.svg,Mira,Iyer,61,55-64,Female,District-04,CONST-004,PS-004,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T08:44:00,9.94,9.78,
VOTER000005,synthetic://voter/000005.svg,Sia,Bose,63,55-64,Female,District-05,CONST-005,PS-005,1,REGISTERED,PENDING,PENDING,,,2.34,3.16,
VOTER000006,synthetic://voter/000006.svg,Leela,Das,66,65-74,Female,District-06,CONST-006,PS-006,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:10:00,6.82,9.05,
VOTER000007,synthetic://voter/000007.svg,Anika,Mehta,23,18-24,Male,District-07,CONST-007,PS-007,4,REGISTERED,PENDING,PENDING,,,10.16,1.2,
VOTER000008,synthetic://voter/000008.svg,Anika,Roy,53,45-54,Male,District-08,CONST-008,PS-008,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T13:03:00,9.66,4.57,
VOTER000009,synthetic://voter/000009.svg,Tara,Iyer,27,25-34,Male,District-09,CONST-009,PS-009,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T09:47:00,11.63,9.21,
VOTER000010,synthetic://voter/000010.svg,Anika,Sen,46,45-54,Male,District-10,CONST-010,PS-010,3,REGISTERED,PENDING,PENDING,,,12.4,2.34,
VOTER000011,synthetic://voter/000011.svg,Anika,Roy,69,65-74,Male,District-01,CONST-011,PS-011,2,REGISTERED,PROCESSED,PENDING,,2026-01-15T12:22:00,10.84,11.37,
VOTER000012,synthetic://voter/000012.svg,Dev,Das,68,65-74,Male,District-02,CONST-012,PS-012,1,REGISTERED,PENDING,PENDING,,,6.95,4.76,
VOTER000013,synthetic://voter/000013.svg,Dev,Malik,72,65-74,Male,District-03,CONST-013,PS-013,2,REGISTERED,PENDING,PENDING,,,6.02,6.8,
VOTER000014,synthetic://voter/000014.svg,Dev,Roy,29,25-34,Male,District-04,CONST-014,PS-014,5,REGISTERED,PENDING,PENDING,,,9.95,4.74,
VOTER000015,synthetic://voter/000015.svg,Kabir,Sen,26,25-34,Female,District-05,CONST-015,PS-015,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T11:17:00,4.51,4.27,
VOTER000016,synthetic://voter/000016.svg,Dev,Bose,52,45-54,Female,District-06,CONST-016,PS-016,1,REGISTERED,PENDING,PENDING,,,6.52,7.49,
VOTER000017,synthetic://voter/000017.svg,Mira,Roy,51,45-54,Male,District-07,CONST-017,PS-017,3,REGISTERED,PENDING,PENDING,,,8.78,2.95,
VOTER000018,synthetic://voter/000018.svg,Kabir,Sen,82,75-85,Male,District-08,CONST-018,PS-018,1,REGISTERED,PROCESSED,PENDING,,2026-01-15T16:12:00,12.48,9.13,
VOTER000019,synthetic://voter/000019.svg,Anika,Sen,80,75-85,Female,District-09,CONST-019,PS-019,4,REGISTERED,PROCESSED,PENDING,,2026-01-15T12:14:00,16.19,3.68,
